"","營利事業家數及銷售額－第5次修訂",,單位：家、千元
"項目及地區別","新北市(改制後)","臺北市","桃園市(改制後)","臺中市(改制後)","臺南市(改制後)","高雄市(改制後)","宜蘭縣","新竹縣","苗栗縣","彰化縣","南投縣","雲林縣","嘉義縣","屏東縣","臺東縣","花蓮縣","澎湖縣","基隆市","新竹市","嘉義市","金門縣","連江縣","新北市(改制後)","臺北市","桃園市(改制後)","臺中市(改制後)","臺南市(改制後)","高雄市(改制後)","宜蘭縣","新竹縣","苗栗縣","彰化縣","南投縣","雲林縣","嘉義縣","屏東縣","臺東縣","花蓮縣","澎湖縣","基隆市","新竹市","嘉義市","金門縣","連江縣"
"94年 4月/ <b>總計</b>","176,276","195,712","80,739","142,520","90,169","138,940","24,049","18,526","23,370","61,572","21,607","25,842","18,350","36,075","11,143","17,828","5,482","16,898","21,004","15,865","10,109","892","626,353,532","1,960,738,169","424,472,713","400,447,906","289,681,195","514,902,004","29,648,596","108,347,165","81,222,100","149,577,232","29,699,090","136,645,765","31,322,734","38,924,612","7,329,343","21,961,761","3,080,304","24,338,120","143,577,940","28,381,943","4,748,646","544,017"
"94年 5月/ <b>總計</b>","177,161","196,254","81,202","143,396","90,518","139,502","24,092","18,638","23,367","61,848","21,722","25,895","18,480","36,108","11,146","17,828","5,495","16,896","21,092","16,089","10,087","892","112,219,271","115,126,816","33,825,985","28,500,880","23,014,957","50,237,761","1,459,676","13,194,511","3,760,137","9,680,055","4,813,651","14,865,536","3,866,503","3,259,395","512,198","782,830","291,126","2,517,519","34,736,720","1,002,148","454,575","35,786"
"94年 6月/ <b>總計</b>","177,923","196,619","81,590","144,047","90,787","139,890","24,202","18,745","23,422","62,011","21,902","25,988","18,610","36,197","11,167","17,849","5,509","16,908","21,172","16,234","10,095","894","614,066,105","1,696,552,519","432,021,405","405,716,553","291,862,940","496,485,966","30,542,223","107,862,616","87,429,564","145,582,717","30,122,294","136,869,466","30,707,956","37,974,901","7,390,477","23,826,898","3,454,910","25,189,326","147,478,291","28,816,511","3,769,914","588,832"
"94年 7月/ <b>總計</b>","178,542","196,706","81,913","144,641","90,993","140,259","24,262","18,843","23,489","62,145","22,065","26,064","18,658","36,274","11,163","17,874","5,514","16,931","21,344","16,295","10,071","887","113,376,861","143,754,991","32,948,339","27,647,596","21,008,597","46,931,921","1,549,092","13,736,127","3,889,563","9,674,678","4,730,995","15,018,702","3,503,656","3,074,793","507,596","737,211","235,629","6,594,448","30,448,502","1,008,602","450,838","35,652"
"94年 8月/ <b>總計</b>","179,207","197,082","82,202","145,142","91,386","140,709","24,324","18,932","23,584","62,320","22,110","26,105","18,716","36,213","11,150","17,921","5,540","16,959","21,531","16,348","10,076","889","626,235,968","2,228,333,128","438,810,725","411,516,853","297,616,857","499,371,068","32,209,511","114,850,447","81,523,627","144,617,961","29,919,397","140,933,930","31,246,572","39,004,979","8,043,775","23,671,429","3,758,052","25,760,129","158,528,326","29,782,439","3,990,051","673,539"
"94年 9月/ <b>總計</b>","179,938","197,281","82,460","145,509","91,906","141,009","24,437","19,106","23,645","62,445","22,158","26,122","18,765","36,132","11,062","17,940","5,562","16,998","21,640","16,422","10,071","891","142,295,712","129,845,830","35,988,173","29,955,144","22,691,256","50,428,164","1,701,379","16,149,190","3,381,854","10,354,047","4,758,725","15,387,685","4,222,439","3,480,438","519,948","748,904","271,866","4,628,011","40,093,260","1,152,267","451,171","35,337"
"94年 10月/ <b>總計</b>","180,571","197,662","82,774","146,109","92,434","141,416","24,494","19,205","23,747","62,690","22,228","26,135","18,870","36,224","11,066","17,977","5,557","17,027","21,703","16,563","10,070","890","672,941,098","2,112,592,431","458,062,167","428,438,687","315,593,325","516,848,677","30,793,386","121,091,544","87,975,834","147,525,922","30,925,959","165,097,107","32,536,104","41,612,103","8,001,032","25,464,471","3,672,888","25,394,026","166,430,293","31,551,598","7,388,912","746,314"
"94年 11月/ <b>總計</b>","180,999","197,886","83,191","146,542","92,748","141,728","24,608","19,318","23,800","62,878","22,166","26,171","18,894","36,243","10,997","17,992","5,559","17,052","21,739","16,599","10,080","891","146,597,398","127,563,147","47,924,648","29,184,958","22,664,927","56,210,780","1,798,923","18,595,376","3,184,252","10,397,765","5,679,289","14,958,419","3,995,536","4,001,318","516,628","784,457","245,865","2,405,615","36,659,474","1,096,496","455,943","35,338"
"94年 12月/ <b>總計</b>","181,534","197,914","83,405","146,881","93,188","142,041","24,703","19,346","23,820","62,910","22,264","26,172","18,939","36,162","10,995","18,011","5,560","17,060","21,772","16,588","10,080","890","730,844,239","2,490,128,796","485,530,365","470,514,649","344,168,196","564,520,305","35,623,855","124,725,407","87,063,798","161,456,059","34,861,250","164,662,621","34,794,081","43,521,244","9,107,498","26,479,666","3,585,038","36,359,027","180,521,120","32,337,240","6,091,390","867,831"
"95年/ <b>總計</b>","184,605","197,754","85,447","148,867","94,685","143,065","24,971","20,086","24,075","63,425","22,593","26,330","19,058","34,009","10,849","17,952","5,537","17,166","21,920","16,665","9,962","857","4,000,952,885","12,838,642,221","2,959,014,338","2,844,425,837","2,092,816,487","3,527,059,188","205,427,549","807,301,769","498,356,528","1,022,551,511","221,787,923","1,111,923,477","224,100,462","266,656,436","51,846,563","144,374,129","22,571,583","173,172,658","1,377,544,121","181,404,874","28,756,966","4,027,039"
